spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
112,674,5100,914280,102.373797,254,252,5273.880859000001,952453.4375,2,335,69.080885,11.26521,3435.1573380000004,1485.921392,255,675707865,3192434403,255,0.15919,0.082213,0.076977,46,1356,1,443364,1,1,1,1,1,1,0,0,1,2,1,0
2,0,92,0,142857.1409,254,0,52571428.0,0.0,0,0,0.006999999999999999,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,2,1,1,1,0,0,0,2,5,0
48,230,2440,308245,74.80223199999999,254,252,5163.244140999999,663023.25,2,113,78.78931999999999,15.678179,3808.155233,1887.372741,255,314889427,3966470631,255,0.255821,0.11213800000000002,0.143683,51,1340,1,149237,1,1,1,1,1,1,0,0,1,3,1,0
66,370,3202,482333,82.376719,254,252,4778.228515999999,728748.0,2,183,81.240277,13.874474,3791.7180740000003,1649.86495,255,2558893936,3586572905,255,0.134103,0.06809,0.066013,49,1304,1,233472,1,1,1,1,1,1,0,0,1,1,2,0
112,694,5074,915107,104.469111,254,252,5221.119629,948697.875,2,345,69.420067,10.962835,3377.4502,1375.425841,255,3871153214,3429307054,255,0.22321,0.11967699999999999,0.10353299999999999,45,1319,1,443364,1,1,1,1,1,1,0,0,1,1,1,0
10,8,1308,354,24.97308,254,252,13843.90039,3643.131592,2,1,75.52833299999999,88.35914100000001,4653.832885,132.045547,255,2716169663,2264219673,255,0.10614000000000001,0.062217999999999996,0.043922,131,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0
2,0,92,0,111111.1072,254,0,40888888.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0
10,6,932,268,61.824056999999996,254,252,27664.20508,7385.914062000001,2,1,24.586778,44.346801,1363.554817,70.744914,255,2115901242,1371923582,255,0.090834,0.020880000000000003,0.069954,93,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0
66,362,3216,481994,80.973792,254,252,4806.088379,729201.0625,2,179,81.112923,14.410776,3969.577022,1746.923307,255,3467149119,3957544389,255,0.159584,0.071012,0.088572,49,1331,1,233472,4,1,1,1,1,1,0,0,1,1,2,0
2,0,92,0,76923.07779,254,0,28307692.0,0.0,0,0,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0
116,698,5284,915302,83.42642,254,252,4300.821777,750317.3125,2,347,84.740121,13.903942,4009.090421,1643.987382,255,3588406060,421898955,255,0.12618800000000002,0.078252,0.047936,46,1311,1,443364,1,1,1,1,1,1,0,0,1,1,1,0
66,368,3214,482261,80.011942,254,252,4680.236816,710980.5625,2,181,83.2554,14.533106,4393.5146270000005,1779.647006,255,2117020568,3891423816,255,0.181316,0.09256,0.08875599999999999,49,1310,1,233472,5,1,4,3,2,4,0,0,4,3,4,0
66,368,3214,482261,80.011942,254,252,4680.236816,710980.5625,2,181,83.2554,14.533106,4393.5146270000005,1779.647006,255,2117020568,3891423816,255,0.181316,0.09256,0.08875599999999999,49,1310,1,233472,5,1,4,3,2,4,0,0,4,3,4,0
68,354,3264,481642,71.72497299999999,254,252,4383.230469,654597.875,2,174,87.60660899999999,16.25291,4342.422769,2008.8334100000002,255,1922599459,2326255763,255,0.22071999999999997,0.132167,0.08855299999999999,48,1361,1,233472,1,1,1,1,1,1,0,0,1,1,3,0
114,686,5154,914758,91.47633,254,252,4679.375,836613.4375,2,341,77.29123100000001,12.655595,3644.0989280000003,1569.626815,255,3049056587,1142213436,255,0.13264700000000001,0.07807,0.054577,45,1333,1,443364,1,1,2,1,1,1,0,0,1,2,1,0
